"","x"
"1",0.0217942960819352
"2",0.0210991451595558
"3",0.0205999606272668
"4",0.0200235935864228
"5",0.0192967056712096
"6",0.0171369085275486
"7",0.0159095402987125
"8",0.0146258919425799
"9",0.0127872837056725
"10",0.010876144770678
"11",0.00846854503797703
"12",0.00554202915103661
"13",0.00394833510427804
"14",0.00365612275809013
"15",0.0044485947342781
"16",0.00620375950171398
"17",0.00812685526343486
"18",0.0104636280706221
"19",0.0125271552818681
"20",0.0135243768337854
